Year,Firstname,Lastname,Category,Prize_Share,Motivation,Laureate_Id,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country,Birth_Year
1974,Albert,Claude,Medicine,3,for their discoveries concerning the structural and functional organization of the cell,403,male,1898-08-24,Belgium,Longlier,BE,1983-05-22,Belgium,Brussels,BE,Université Catholique de Louvain,Louvain,Belgium,1898
1975,John,Cornforth,Chemistry,2,for his work on the stereochemistry of enzyme-catalyzed reactions,247,male,1917-09-07,Australia,Sydney,AU,2013-12-08,,,,University of Sussex,Brighton,United Kingdom,1917
1975,Vladimir,Prelog,Chemistry,2,for his research into the stereochemistry of organic molecules and reactions,248,male,1906-07-23,Austria-Hungary (now Bosnia and Herzegovina),Sarajevo,BA,1998-01-07,Switzerland,Zurich,CH,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1906
1975,Howard M.,Temin,Medicine,3,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,408,male,1934-12-10,USA,Philadelphia PA,US,1994-02-09,USA,Madison WI,US,University of Wisconsin,Madison WI,USA,1934
1975,Aage N.,Bohr,Physics,3,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,102,male,1922-06-19,Denmark,Copenhagen,DK,2009-09-08,Denmark,Copenhagen,DK,Niels Bohr Institute,Copenhagen,Denmark,1922
1975,Ben R.,Mottelson,Physics,3,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,103,male,1926-07-09,USA,Chicago IL,US,2022-05-13,,,,Nordita,Copenhagen,Denmark,1926
1975,James,Rainwater,Physics,3,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,104,male,1917-12-09,USA,Council ID,US,1986-03-31,USA,Yonkers NY,US,Columbia University,New York NY,USA,1917
1975,Tjalling C.,Koopmans,Economics,2,for their contributions to the theory of optimum allocation of resources,687,male,1910-08-28,the Netherlands,'s Graveland,NL,1985-02-26,USA,New Haven CT,US,Yale University,New Haven CT,USA,1910
1975,Leonid Vitaliyevich,Kantorovich,Economics,2,for their contributions to the theory of optimum allocation of resources,686,male,1912-01-19,Russian Empire (now Russia),St. Petersburg,RU,1986-04-07,USSR (now Russia),Moscow,RU,Academy of Sciences,Moscow,USSR (now Russia),1912
1975,Eugenio,Montale,Literature,1,for his distinctive poetry which with great artistic sensitivity has interpreted human values under the sign of an outlook on life with no illusions,651,male,1896-10-12,Italy,Genoa,IT,1981-09-12,Italy,Milan,IT,,,,1896
1975,David,Baltimore,Medicine,3,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,406,male,1938-03-07,USA,New York NY,US,,,,,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1938
1975,Renato,Dulbecco,Medicine,3,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,407,male,1914-02-22,Italy,Catanzaro,IT,2012-02-19,USA,La Jolla CA,US,Imperial Cancer Research Fund Laboratory,London,United Kingdom,1914
1975,Andrei,Sakharov,Peace,1,for his struggle for human rights in the Soviet Union for disarmament and cooperation between all nations,534,male,1921-05-21,Russia,Moscow,RU,1989-12-14,USSR (now Russia),Moscow,RU,,,,1921
1976,Milton,Friedman,Economics,1,for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy,688,male,1912-07-31,USA,Brooklyn NY,US,2006-11-16,USA,San Francisco CA,US,University of Chicago,Chicago IL,USA,1912
1976,William,Lipscomb,Chemistry,1,for his studies on the structure of boranes illuminating problems of chemical bonding,249,male,1919-12-09,USA,Cleveland OH,US,2011-04-14,USA,Cambridge MA,US,Harvard University,Cambridge MA,USA,1919
1976,Mairead,Corrigan,Peace,2,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,536,female,1944-01-27,Northern Ireland,Belfast,GB,,,,,,,,1944
1976,Burton,Richter,Physics,2,for their pioneering work in the discovery of a heavy elementary particle of a new kind,105,male,1931-03-22,USA,Brooklyn NY,US,2018-07-18,USA,Stanford CA,US,Stanford Linear Accelerator Center,Stanford CA,USA,1931
1976,Samuel C.C.,Ting,Physics,2,for their pioneering work in the discovery of a heavy elementary particle of a new kind,106,male,1936-01-27,USA,Ann Arbor MI,US,,,,,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1936
1976,Baruch S.,Blumberg,Medicine,2,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,409,male,1925-07-28,USA,New York NY,US,2011-04-05,USA,Moffett Field CA,US,The Institute for Cancer Research,Philadelphia PA,USA,1925
1976,D. Carleton,Gajdusek,Medicine,2,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,410,male,1923-09-09,USA,Yonkers NY,US,2008-12-12,Norway,Tromsø,NO,National Institutes of Health,Bethesda MD,USA,1923
1976,Betty,Williams,Peace,2,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,535,female,1943-05-22,Northern Ireland,Belfast,GB,2020-03-17,Northern Ireland,Belfast,GB,,,,1943
1976,Saul,Bellow,Literature,1,for the human understanding and subtle analysis of contemporary culture that are combined in his work,652,male,1915-06-10,Canada,Montreal,CA,2005-04-05,USA,Brookline MA,US,,,,1915
1977,Philip W.,Anderson,Physics,3,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,107,male,1923-12-13,USA,Indianapolis IN,US,2020-03-29,USA,Princeton NJ,US,Bell Telephone Laboratories,Murray Hill NJ,USA,1923
1977,James E.,Meade,Economics,2,for their pathbreaking contribution to the theory of international trade and international capital movements,690,male,1907-06-23,United Kingdom,Swanage,GB,1995-12-22,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom,1907
1977,Bertil,Ohlin,Economics,2,for their pathbreaking contribution to the theory of international trade and international capital movements,689,male,1899-04-23,Sweden,Klippan,SE,1979-08-03,Sweden,Vålådalen,SE,Stockholm School of Economics,Stockholm,Sweden,1899
1977,Sir Nevill F.,Mott,Physics,3,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,108,male,1905-09-30,United Kingdom,Leeds,GB,1996-08-08,United Kingdom,Milton Keynes,GB,University of Cambridge,Cambridge,United Kingdom,1905
1977,John H.,Van Vleck,Physics,3,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,109,male,1899-03-13,USA,Middletown CT,US,1980-10-27,USA,Cambridge MA,US,Harvard University,Cambridge MA,USA,1899
1977,Andrew V.,Schally,Medicine,4,for their discoveries concerning the peptide hormone production of the brain,412,male,1926-11-30,Poland (now Lithuania),Wilno (now Vilnius),LT,,,,,Veterans Administration Hospital,New Orleans LA,USA,1926
1977,Rosalyn,Yalow,Medicine,2,for the development of radioimmunoassays of peptide hormones,413,female,1921-07-19,USA,New York NY,US,2011-05-30,USA,New York NY,US,Veterans Administration Hospital,Bronx NY,USA,1921
1977,Ilya,Prigogine,Chemistry,1,for his contributions to non-equilibrium thermodynamics particularly the theory of dissipative structures,250,male,1917-01-25,Russia,Moscow,RU,2003-05-28,Belgium,Brussels,BE,Université Libre de Bruxelles,Brussels,Belgium,1917
1977,Roger,Guillemin,Medicine,4,for their discoveries concerning the peptide hormone production of the brain,411,male,1924-01-11,France,Dijon,FR,,,,,The Salk Institute,San Diego CA,USA,1924
1977,Amnesty International,,Peace,1,for worldwide respect for human rights,537,org,,,,,,,,,,,,1961
1977,Vicente,Aleixandre,Literature,1,for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars,653,male,1898-04-26,Spain,Sevilla,ES,1984-12-14,Spain,Madrid,ES,,,,1898
1978,Anwar,al-Sadat,Peace,2,for jointly having negotiated peace between Egypt and Israel in 1978,538,male,1918-12-25,Egypt,Mit Abu al-Kawm,EG,1981-10-06,Egypt,Cairo,EG,,,,1918
1978,Menachem,Begin,Peace,2,for jointly having negotiated peace between Egypt and Israel in 1978,539,male,1913-08-16,Russian Empire (now Belarus),Brest Litovsk,BY,1992-03-09,Israel,Tel Aviv,IL,,,,1913
1978,Arno,Penzias,Physics,4,for their discovery of cosmic microwave background radiation,111,male,1933-04-26,Germany,Munich,DE,,,,,Bell Laboratories,Holmdel NJ,USA,1933
1978,Hamilton O.,Smith,Medicine,3,for the discovery of restriction enzymes and their application to problems of molecular genetics,416,male,1931-08-23,USA,New York NY,US,,,,,Johns Hopkins University School of Medicine,Baltimore MD,USA,1931
1978,Daniel,Nathans,Medicine,3,for the discovery of restriction enzymes and their application to problems of molecular genetics,415,male,1928-10-30,USA,Wilmington DE,US,1999-11-16,USA,Baltimore MD,US,Johns Hopkins University School of Medicine,Baltimore MD,USA,1928
1978,Werner,Arber,Medicine,3,for the discovery of restriction enzymes and their application to problems of molecular genetics,414,male,1929-06-03,Switzerland,Gränichen,CH,,,,,Biozentrum der Universität,Basel,Switzerland,1929
1978,Robert Woodrow,Wilson,Physics,4,for their discovery of cosmic microwave background radiation,112,male,1936-01-10,USA,Houston TX,US,,,,,Bell Laboratories,Holmdel NJ,USA,1936
1978,Isaac Bashevis,Singer,Literature,1,for his impassioned narrative art which with roots in a Polish-Jewish cultural tradition brings universal human conditions to life,654,male,1904-07-14,Russian Empire (now Poland),Leoncin,PL,1991-07-24,USA,Surfside FL,US,,,,1904
1978,Herbert,Simon,Economics,1,for his pioneering research into the decision-making process within economic organizations,691,male,1916-06-15,USA,Milwaukee WI,US,2001-02-09,USA,Pittsburgh PA,US,Carnegie Mellon University,Pittsburgh PA,USA,1916
1978,Pyotr,Kapitsa,Physics,2,for his basic inventions and discoveries in the area of low-temperature physics,110,male,1894-07-09,Russian Empire (now Russia),Kronshtadt,RU,1984-04-08,USSR (now Russia),Moscow,RU,Academy of Sciences,Moscow,USSR (now Russia),1894
1978,Peter,Mitchell,Chemistry,1,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory,251,male,1920-09-29,United Kingdom,Mitcham,GB,1992-04-10,United Kingdom,Bodmin,GB,Glynn Research Laboratories,Bodmin,United Kingdom,1920
1979,Georg,Wittig,Chemistry,2,for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis,253,male,1897-06-16,Germany,Berlin,DE,1987-08-26,West Germany (now Germany),Heidelberg,DE,University of Heidelberg,Heidelberg,Germany,1897
1979,Theodore W.,Schultz,Economics,2,for their pioneering research into economic development research with particular consideration of the problems of developing countries,692,male,1902-04-30,USA,Arlington SD,US,1998-02-26,USA,Evanston IL,US,University of Chicago,Chicago IL,USA,1902
1979,Sir Arthur,Lewis,Economics,2,for their pioneering research into economic development research with particular consideration of the problems of developing countries,693,male,1915-01-23,British West Indies (now Saint Lucia),Castries,LC,1991-06-15,Barbados,Bridgetown,BB,Princeton University,Princeton NJ,USA,1915
1979,Anjezë Gonxhe,Bojaxhiu,Peace,1,for her work for bringing help to suffering humanity,540,female,1910-08-26,Ottoman Empire (now North Macedonia),Uskup (now Skopje),MK,1997-09-05,India,Calcutta,IN,,,,1910
1979,Herbert C.,Brown,Chemistry,2,for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis,252,male,1912-05-22,United Kingdom,London,GB,2004-12-19,USA,Lafayette IN,US,Purdue University,West Lafayette IN,USA,1912
1979,Sheldon,Glashow,Physics,3,for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current,113,male,1932-12-05,USA,New York NY,US,,,,,Harvard University Lyman Laboratory,Cambridge MA,USA,1932
1979,Steven,Weinberg,Physics,3,for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current,115,male,1933-05-03,USA,New York NY,US,2021-07-23,USA,Austin TX,US,Harvard University,Cambridge MA,USA,1933
1979,Godfrey N.,Hounsfield,Medicine,2,for the development of computer assisted tomography,418,male,1919-08-28,United Kingdom,Newark,GB,2004-08-12,United Kingdom,Kingston upon Thames,GB,Central Research Laboratories EMI,London,United Kingdom,1919
1979,Allan M.,Cormack,Medicine,2,for the development of computer assisted tomography,417,male,1924-02-23,South Africa,Johannesburg,ZA,1998-05-07,USA,Winchester MA,US,Tufts University,Medford MA,USA,1924
1979,Odysseus,Elytis,Literature,1,for his poetry which against the background of Greek tradition depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness,655,male,1911-11-02,Crete (now Greece),Iráklion,GR,1996-03-18,Greece,Athens,GR,,,,1911
1979,Abdus,Salam,Physics,3,for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current,114,male,1926-01-29,India (now Pakistan),Jhang Maghiāna,PK,1996-11-21,United Kingdom,Oxford,GB,International Centre for Theoretical Physics,Trieste,Italy,1926
1980,Frederick,Sanger,Chemistry,4,for their contributions concerning the determination of base sequences in nucleic acids,222,male,1918-08-13,United Kingdom,Rendcombe,GB,2013-11-19,United Kingdom,Cambridge,GB,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1918
1980,Jean,Dausset,Medicine,3,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,420,male,1916-10-19,France,Toulouse,FR,2009-06-06,Spain,Palma Majorca,ES,Université de Paris Laboratoire Immuno-Hématologie,Paris,France,1916
1980,Baruj,Benacerraf,Medicine,3,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,419,male,1920-10-29,Venezuela,Caracas,VE,2011-08-02,USA,Boston MA,US,Harvard Medical School,Boston MA,USA,1920
1980,Lawrence R.,Klein,Economics,1,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,694,male,1920-09-14,USA,Omaha NE,US,2013-10-20,USA,Gladwyne PA,US,University of Pennsylvania,Philadelphia PA,USA,1920
1980,Paul,Berg,Chemistry,2,for his fundamental studies of the biochemistry of nucleic acids with particular regard to recombinant-DNA,254,male,1926-06-30,USA,New York NY,US,2023-02-15,USA,Stanford CA,US,Stanford University,Stanford CA,USA,1926
1980,Adolfo,Pérez Esquivel,Peace,1,for being a source of inspiration to repressed people especially in Latin America,541,male,1931-11-26,Argentina,Buenos Aires,AR,,,,,,,,1931
1980,Walter,Gilbert,Chemistry,4,for their contributions concerning the determination of base sequences in nucleic acids,255,male,1932-03-21,USA,Boston MA,US,,,,,Harvard University Biological Laboratories,Cambridge MA,USA,1932
1980,Val,Fitch,Physics,2,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,117,male,1923-03-10,USA,Merriman NE,US,2015-02-05,USA,Princeton NJ,US,Princeton University,Princeton NJ,USA,1923
1980,James,Cronin,Physics,2,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,116,male,1931-09-29,USA,Chicago IL,US,2016-08-25,USA,St. Paul MN,US,University of Chicago,Chicago IL,USA,1931
1980,Czeslaw,Milosz,Literature,1,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,657,male,1911-06-30,Russian Empire (now Lithuania),Śeteniai,LT,2004-08-14,Poland,Kraków,PL,,,,1911
1980,George D.,Snell,Medicine,3,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,421,male,1903-12-19,USA,Bradford MA,US,1996-06-06,USA,Bar Harbor ME,US,Jackson Laboratory,Bar Harbor ME,USA,1903
1981,James,Tobin,Economics,1,for his analysis of financial markets and their relations to expenditure decisions employment production and prices,695,male,1918-03-05,USA,Champaign IL,US,2002-03-11,USA,New Haven CT,US,Yale University,New Haven CT,USA,1918
1981,Elias,Canetti,Literature,1,for writings marked by a broad outlook a wealth of ideas and artistic power,658,male,1905-07-25,Bulgaria,Ruse,BG,1994-08-14,Switzerland,Zurich,CH,,,,1905
1981,David H.,Hubel,Medicine,4,for their discoveries concerning information processing in the visual system,423,male,1926-02-27,Canada,Windsor ON,CA,2013-09-22,USA,Lincoln MA,US,Harvard Medical School,Boston MA,USA,1926
1981,Nicolaas,Bloembergen,Physics,4,for their contribution to the development of laser spectroscopy,118,male,1920-03-11,the Netherlands,Dordrecht,NL,2017-09-05,USA,Tucson AZ,US,Harvard University,Cambridge MA,USA,1920
1981,Office of the United Nations High Commissioner for Refugees,,Peace,1,for promoting the fundamental rights of refugees,515,org,1950-12-14,,,,,,,,,,,1950
1981,Roger W.,Sperry,Medicine,2,for his discoveries concerning the functional specialization of the cerebral hemispheres,422,male,1913-08-20,USA,Hartford CT,US,1994-04-17,USA,Pasadena CA,US,California Institute of Technology (Caltech),Pasadena CA,USA,1913
1981,Kenichi,Fukui,Chemistry,2,for their theories developed independently concerning the course of chemical reactions,257,male,1918-10-04,Japan,Nara,JP,1998-01-09,Japan,Kyoto,JP,Kyoto University,Kyoto,Japan,1918
1981,Roald,Hoffmann,Chemistry,2,for their theories developed independently concerning the course of chemical reactions,258,male,1937-07-18,Poland (now Ukraine),Zloczov,UA,,,,,Cornell University,Ithaca NY,USA,1937
1981,Torsten N.,Wiesel,Medicine,4,for their discoveries concerning information processing in the visual system,424,male,1924-06-03,Sweden,Uppsala,SE,,,,,Harvard Medical School,Boston MA,USA,1924
1981,Arthur L.,Schawlow,Physics,4,for their contribution to the development of laser spectroscopy,119,male,1921-05-05,USA,Mount Vernon NY,US,1999-04-28,USA,Palo Alto CA,US,Stanford University,Stanford CA,USA,1921
1981,Kai M.,Siegbahn,Physics,2,for his contribution to the development of high-resolution electron spectroscopy,120,male,1918-04-20,Sweden,Lund,SE,2007-07-20,Sweden,Ängelholm,SE,Uppsala University,Uppsala,Sweden,1918
1982,George J.,Stigler,Economics,1,for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation,696,male,1911-01-17,USA,Renton WA,US,1991-12-01,USA,Chicago IL,US,University of Chicago,Chicago IL,USA,1911
1982,Alva,Myrdal,Peace,2,for their work for disarmament and nuclear and weapon-free zones,543,female,1902-01-31,Sweden,Uppsala,SE,1986-02-01,Sweden,Stockholm,SE,,,,1902
1982,Gabriel,García Márquez,Literature,1,for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts,659,male,1927-03-06,Colombia,Aracataca,CO,2014-04-17,Mexico,Mexico City,MX,,,,1927
1982,John R.,Vane,Medicine,3,for their discoveries concerning prostaglandins and related biologically active substances,427,male,1927-03-29,United Kingdom,Tardebigg,GB,2004-11-19,United Kingdom,Farnborough,GB,The Wellcome Research Laboratories,Beckenham,United Kingdom,1927
1982,Aaron,Klug,Chemistry,1,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,259,male,1926-08-11,Lithuania,Zelvas,LT,2018-11-20,,,,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1926
1982,Sune K.,Bergström,Medicine,3,for their discoveries concerning prostaglandins and related biologically active substances,425,male,1916-01-10,Sweden,Stockholm,SE,2004-08-15,Sweden,Stockholm,SE,Karolinska Institutet,Stockholm,Sweden,1916
1982,Kenneth G.,Wilson,Physics,1,for his theory for critical phenomena in connection with phase transitions,121,male,1936-06-08,USA,Waltham MA,US,2013-06-15,USA,Saco ME,US,Cornell University,Ithaca NY,USA,1936
1982,Alfonso,García Robles,Peace,2,for their work for disarmament and nuclear and weapon-free zones,544,male,1911-03-20,Mexico,Zamora,MX,1991-09-02,Mexico,Mexico City,MX,,,,1911
1982,Bengt I.,Samuelsson,Medicine,3,for their discoveries concerning prostaglandins and related biologically active substances,426,male,1934-05-21,Sweden,Halmstad,SE,,,,,Karolinska Institutet,Stockholm,Sweden,1934
1983,Lech,Walesa,Peace,1,for non-violent struggle for free trade unions and human rights in Poland,545,male,1943-09-29,Poland,Popowo,PL,,,,,,,,1943
1983,Henry,Taube,Chemistry,1,for his work on the mechanisms of electron transfer reactions especially in metal complexes,260,male,1915-11-30,Canada,Neudorf,CA,2005-11-16,USA,Stanford CA,US,Stanford University,Stanford CA,USA,1915
1983,Barbara,McClintock,Medicine,1,for her discovery of mobile genetic elements,428,female,1902-06-16,USA,Hartford CT,US,1992-09-02,USA,Huntington NY,US,Cold Spring Harbor Laboratory,Cold Spring Harbor NY,USA,1902
1983,Gerard,Debreu,Economics,1,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,697,male,1921-07-04,France,Calais,FR,2004-12-31,France,Paris,FR,University of California,Berkeley CA,USA,1921
1983,William,Golding,Literature,1,for his novels which with the perspicuity of realistic narrative art and the diversity and universality of myth illuminate the human condition in the world of today,660,male,1911-09-19,United Kingdom,St. Columb Minor,GB,1993-06-19,United Kingdom,Perranarworthal,GB,,,,1911
1983,William A.,Fowler,Physics,2,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,123,male,1911-08-09,USA,Pittsburgh PA,US,1995-03-14,USA,Pasadena CA,US,California Institute of Technology (Caltech),Pasadena CA,USA,1911
1983,Subramanyan,Chandrasekhar,Physics,2,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars,122,male,1910-10-19,India (now Pakistan),Lahore,PK,1995-08-21,USA,Chicago IL,US,University of Chicago,Chicago IL,USA,1910
1984,Niels K.,Jerne,Medicine,3,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,429,male,1911-12-23,United Kingdom,London,GB,1994-10-07,France,Castillon-du-Gard,FR,Basel Institute for Immunology,Basel,Switzerland,1911
1984,Georges J.F.,Köhler,Medicine,3,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,430,male,1946-04-17,Germany,Munich,DE,1995-03-01,Germany,Freiburg im Breisgau,DE,Basel Institute for Immunology,Basel,Switzerland,1946
1984,César,Milstein,Medicine,3,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,431,male,1927-10-08,Argentina,Bahia Blanca,AR,2002-03-24,United Kingdom,Cambridge,GB,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1927
1984,Jaroslav,Seifert,Literature,1,for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man,661,male,1901-09-23,Austria-Hungary (now Czech Republic),Prague,CZ,1986-01-10,Czechoslovakia (now Czech Republic),Prague,CZ,,,,1901
1984,Desmond,Tutu,Peace,1,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa,546,male,1931-10-07,South Africa,Klerksdorp,ZA,2021-12-26,South Africa,Cape Town,ZA,,,,1931
1984,Bruce,Merrifield,Chemistry,1,for his development of methodology for chemical synthesis on a solid matrix,261,male,1921-07-15,USA,Fort Worth TX,US,2006-05-14,USA,Cresskill NJ,US,Rockefeller University,New York NY,USA,1921
1984,Simon,van der Meer,Physics,2,for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction,125,male,1925-11-24,the Netherlands,the Hague,NL,2011-03-04,Switzerland,Geneva,CH,CERN,Geneva,Switzerland,1925
1984,Carlo,Rubbia,Physics,2,for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction,124,male,1934-03-31,Italy,Gorizia,IT,,,,,CERN,Geneva,Switzerland,1934
1984,Richard,Stone,Economics,1,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis,698,male,1913-08-30,United Kingdom,London,GB,1991-12-06,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom,1913
1985,International Physicians for the Prevention of Nuclear War,,Peace,1,for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war,547,org,,,,,,,,,,,,1980
1985,Klaus,von Klitzing,Physics,1,for the discovery of the quantized Hall effect,126,male,1943-06-28,German-occupied Poland (now Poland),Schroda,PL,,,,,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,1943
1985,Joseph L.,Goldstein,Medicine,2,for their discoveries concerning the regulation of cholesterol metabolism,433,male,1940-04-18,USA,Sumter SC,US,,,,,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,1940
1985,Michael S.,Brown,Medicine,2,for their discoveries concerning the regulation of cholesterol metabolism,432,male,1941-04-13,USA,New York NY,US,,,,,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,1941
1985,Herbert A.,Hauptman,Chemistry,2,for their outstanding achievements in the development of direct methods for the determination of crystal structures,262,male,1917-02-14,USA,New York NY,US,2011-10-23,USA,Buffalo NY,US,The Medical Foundation of Buffalo,Buffalo NY,USA,1917
1985,Jerome,Karle,Chemistry,2,for their outstanding achievements in the development of direct methods for the determination of crystal structures,263,male,1918-06-18,USA,New York NY,US,2013-06-06,USA,Annandale VA,US,US Naval Research Laboratory,Washington D.C.,USA,1918
1985,Claude,Simon,Literature,1,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,662,male,1913-10-10,Madagascar,Tananarive (now Antananarivo),MG,2005-07-06,France,Paris,FR,,,,1913
1985,Franco,Modigliani,Economics,1,for his pioneering analyses of saving and of financial markets,699,male,1918-06-18,Italy,Rome,IT,2003-09-25,USA,Cambridge MA,US,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1918
1986,Dudley R.,Herschbach,Chemistry,3,for their contributions concerning the dynamics of chemical elementary processes,264,male,1932-06-18,USA,San José CA,US,,,,,Harvard University,Cambridge MA,USA,1932
1986,John C.,Polanyi,Chemistry,3,for their contributions concerning the dynamics of chemical elementary processes,266,male,1929-01-23,Germany,Berlin,DE,,,,,University of Toronto,Toronto,Canada,1929
1986,Gerd,Binnig,Physics,4,for their design of the scanning tunneling microscope,128,male,1947-07-20,West Germany (now Germany),Frankfurt-on-the-Main,DE,,,,,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1947
1986,Heinrich,Rohrer,Physics,4,for their design of the scanning tunneling microscope,129,male,1933-06-06,Switzerland,Buchs,CH,2013-05-16,Switzerland,Wollerau,CH,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1933
1986,Ernst,Ruska,Physics,2,for his fundamental work in electron optics and for the design of the first electron microscope,127,male,1906-12-25,Germany,Heidelberg,DE,1988-05-27,Germany,West Berlin,DE,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,1906
1986,Yuan T.,Lee,Chemistry,3,for their contributions concerning the dynamics of chemical elementary processes,265,male,1936-11-19,Taiwan,Hsinchu,TW,,,,,University of California,Berkeley CA,USA,1936
1986,Rita,Levi-Montalcini,Medicine,2,for their discoveries of growth factors,435,female,1909-04-22,Italy,Turin,IT,2012-12-30,Italy,Rome,IT,Institute of Cell Biology of the C.N.R.,Rome,Italy,1909
1986,Stanley,Cohen,Medicine,2,for their discoveries of growth factors,434,male,1922-11-17,USA,Brooklyn NY,US,2020-02-05,USA,Nashville TN,US,Vanderbilt University School of Medicine,Nashville TN,USA,1922
1986,Elie,Wiesel,Peace,1,for being a messenger to mankind: his message is one of peace atonement and dignity,548,male,1928-09-30,Romania,Sighet,RO,2016-07-02,USA,New York NY,US,,,,1928
1986,Wole,Soyinka,Literature,1,who in a wide cultural perspective and with poetic overtones fashions the drama of existence,663,male,1934-07-13,Nigeria,Abeokuta,NG,,,,,,,,1934
1986,James M.,Buchanan Jr.,Economics,1,for his development of the contractual and constitutional bases for the theory of economic and political decision-making,700,male,1919-10-03,USA,Murfreesboro TN,US,2013-01-09,USA,Blacksburg VA,US,Center for Study of Public Choice,Fairfax VA,USA,1919
1987,Charles J.,Pedersen,Chemistry,3,for their development and use of molecules with structure-specific interactions of high selectivity,269,male,1904-10-03,Korea (now South Korea),Pusan,KR,1989-10-26,USA,Salem NJ,US,Du Pont,Wilmington DE,USA,1904
1987,Joseph,Brodsky,Literature,1,for an all-embracing authorship imbued with clarity of thought and poetic intensity,664,male,1940-05-24,USSR (now Russia),Leningrad (now St. Petersburg),RU,1996-01-28,USA,New York NY,US,,,,1940
